match_id,batter,inning,Team,Opposition,Over,Ball,Runs,BF,Dots,Fours,Sixes,Out,Dismissal_Kind,Fall_of_Wicket,Strike_rate
980955,DA Miller,1,Punjab Kings,Gujarat Titans,8,6,31,27,7,2,0,1,caught,139/6,114.81
980955,WP Saha,1,Punjab Kings,Gujarat Titans,13,2,33,19,3,4,0,1,bowled,151/8,173.68
980955,AR Patel,1,Punjab Kings,Gujarat Titans,18,1,0,2,2,0,0,1,caught,145/7,0.0
980955,KC Cariappa,1,Punjab Kings,Gujarat Titans,18,6,1,3,2,0,0,1,bowled,154/10,33.33
980955,MM Sharma,1,Punjab Kings,Gujarat Titans,19,1,1,2,1,0,0,1,bowled,153/9,50.0
980955,Sandeep Sharma,1,Punjab Kings,Gujarat Titans,19,4,1,1,0,0,0,0,,,100.0
980955,DR Smith,2,Gujarat Titans,Punjab Kings,0,1,15,18,12,1,1,1,caught,38/3,83.33
980955,BB McCullum,2,Gujarat Titans,Punjab Kings,1,1,1,3,2,0,0,1,bowled,13/1,33.33
980955,SK Raina,2,Gujarat Titans,Punjab Kings,1,5,18,15,8,2,1,1,bowled,34/2,120.0
980955,KD Karthik,2,Gujarat Titans,Punjab Kings,5,4,2,4,3,0,0,1,bowled,39/4,50.0
980955,RA Jadeja,2,Gujarat Titans,Punjab Kings,6,5,11,11,4,0,0,1,caught,57/6,100.0
980955,DJ Bravo,2,Gujarat Titans,Punjab Kings,6,7,0,1,1,0,0,1,bowled,39/5,0.0
980955,Ishan Kishan,2,Gujarat Titans,Punjab Kings,7,2,27,24,8,3,0,1,run out,86/7,112.5
980955,JP Faulkner,2,Gujarat Titans,Punjab Kings,10,2,32,27,8,3,0,1,caught,125/9,118.52
980955,P Kumar,2,Gujarat Titans,Punjab Kings,15,5,15,13,5,2,0,1,caught,125/8,115.38
980955,DS Kulkarni,2,Gujarat Titans,Punjab Kings,19,3,6,4,1,0,0,0,,,150.0
980957,AM Rahane,1,Rising Pune Supergiants,Mumbai Indians,0,1,4,5,4,0,0,1,caught,8/1,80.0
980957,SS Tiwary,1,Rising Pune Supergiants,Mumbai Indians,0,2,57,45,18,4,2,1,caught,138/4,126.67
980957,SPD Smith,1,Rising Pune Supergiants,Mumbai Indians,2,1,45,23,8,4,3,1,caught,92/2,195.65
980957,PSP Handscomb,1,Rising Pune Supergiants,Mumbai Indians,9,3,6,12,6,0,0,1,caught,105/3,50.0
980957,MS Dhoni,1,Rising Pune Supergiants,Mumbai Indians,12,3,24,24,10,2,0,1,caught,149/5,100.0
980957,NLTC Perera,1,Rising Pune Supergiants,Mumbai Indians,17,6,12,9,4,0,1,0,,,133.33
980957,R Bhatia,1,Rising Pune Supergiants,Mumbai Indians,19,4,3,2,0,0,0,0,,,150.0
980957,RG Sharma,2,Mumbai Indians,Rising Pune Supergiants,0,1,85,60,20,8,3,0,,,141.67
980957,PA Patel,2,Mumbai Indians,Rising Pune Supergiants,0,4,21,15,9,4,0,1,caught,39/1,140.0
980957,AT Rayudu,2,Mumbai Indians,Rising Pune Supergiants,5,1,22,19,6,1,1,1,caught,91/2,115.79
980957,JC Buttler,2,Mumbai Indians,Rising Pune Supergiants,11,6,27,17,3,2,1,0,,,158.82
980959,KL Rahul,1,Royal Challengers Bengaluru,Kolkata Knight Riders,0,1,52,32,10,6,2,1,caught,92/2,162.5
980959,CH Gayle,1,Royal Challengers Bengaluru,Kolkata Knight Riders,0,3,7,7,5,0,1,1,caught,8/1,100.0
980959,V Kohli,1,Royal Challengers Bengaluru,Kolkata Knight Riders,1,4,52,44,10,4,0,1,caught,129/4,118.18
980959,AB de Villiers,1,Royal Challengers Bengaluru,Kolkata Knight Riders,11,3,4,6,3,0,0,1,lbw,109/3,66.67
980959,SR Watson,1,Royal Challengers Bengaluru,Kolkata Knight Riders,13,5,34,21,7,5,1,1,run out,185/7,161.9
980959,Sachin Baby,1,Royal Challengers Bengaluru,Kolkata Knight Riders,16,6,16,6,4,2,1,1,caught and bowled,167/5,266.67
980959,STR Binny,1,Royal Challengers Bengaluru,Kolkata Knight Riders,19,2,16,4,1,1,2,1,caught,184/6,400.0
980959,RV Uthappa,2,Kolkata Knight Riders,Royal Challengers Bengaluru,0,1,1,4,3,0,0,1,caught,6/1,25.0
980959,G Gambhir,2,Kolkata Knight Riders,Royal Challengers Bengaluru,0,3,37,29,13,4,1,1,lbw,66/3,127.59
980959,CA Lynn,2,Kolkata Knight Riders,Royal Challengers Bengaluru,1,2,15,12,5,0,1,1,bowled,34/2,125.0
980959,MK Pandey,2,Kolkata Knight Riders,Royal Challengers Bengaluru,4,5,8,12,5,0,0,1,caught,69/4,66.67
980959,YK Pathan,2,Kolkata Knight Riders,Royal Challengers Bengaluru,9,2,60,29,6,6,3,0,,,206.9
980959,AD Russell,2,Kolkata Knight Riders,Royal Challengers Bengaluru,10,3,39,24,13,1,4,1,caught,165/5,162.5
980959,SA Yadav,2,Kolkata Knight Riders,Royal Challengers Bengaluru,17,4,10,5,1,2,0,0,,,200.0
980961,DR Smith,1,Gujarat Titans,Delhi Capitals,0,1,15,14,8,3,0,1,caught,17/2,107.14
980961,BB McCullum,1,Gujarat Titans,Delhi Capitals,0,6,1,4,3,0,0,1,bowled,17/1,25.0
980961,AJ Finch,1,Gujarat Titans,Delhi Capitals,2,6,5,5,4,1,0,1,caught,24/3,100.0
980961,SK Raina,1,Gujarat Titans,Delhi Capitals,3,4,24,20,7,1,1,1,stumped,75/4,120.0
980961,KD Karthik,1,Gujarat Titans,Delhi Capitals,4,4,53,43,15,5,0,1,bowled,127/5,123.26
980961,RA Jadeja,1,Gujarat Titans,Delhi Capitals,11,5,36,26,11,4,1,1,run out,149/7,138.46
